libtech_id,lib_name,lib_website,lib_catalog,city_county,state,popu_lsa_2019,web_visits_2019,locale_mod,cen_tract
198553,"Elberta Public Library",https://townofelberta.com/public-library/,http://www.baldwincat.org/,Elberta,AL,1714,0,41,116.01
8633,"Enterprise Public Library",https://www.enterpriselibrary.org/,http://enterprise-pub-library.net/search.html,Enterprise,AL,42073,38171,32,109
14533,"Eufaula Carnegie Library",https://aplsnew-web.apls.state.al.us:10129/eufaula/web/,https://eufaulacarnegieal.booksys.net/opac/eufaulacarnegieal/index.html,Eufaula,AL,14147,15241,32,9508
8655,"Fairhope Public Library",https://fairhopelibrary.org/,http://216.231.174.250/baldwin/,Fairhope,AL,20935,108110,13,112.01
14542,"Falkville Public Library",http://falkvillepubliclibrary.us/,https://falkville.biblionix.com/atoz/catalog2/,Falkville,AL,1689,44,41,55
14515,"Fayette County Memorial Library",https://www.fcml.org/,http://12.150.227.156/,Fayette County,AL,16468,4015,32,203
14427,"Flomaton Public Library",https://www.flomatonpubliclibrary.org/home.html,http://flomaton.booksys.net/opac/fpl/index.html#menuHome,Flomaton,AL,1389,4534,41,9703
8654,"Foley Public Library",https://www.foleylibrary.org/,http://216.231.174.250/baldwin/,Foley,AL,18288,89212,31,115.01
12991,"Fultondale Public Library",http://fultondale.lib.al.us/,http://www.jclc.org/services/opacmenu.html,Fultondale,AL,9190,-1,21,120.02
12993,"Graysville Public Library",http://graysville.lib.al.us/,http://www.jclc.org/services/opacmenu.html,Graysville,AL,2094,-1,21,121.03
14467,"Grove Hill Public Library",https://sites.google.com/site/grovehilllibrary/,https://grovehill.biblionix.com/atoz/catalog/,Grove Hill,AL,6088,61,43,9578
3584,"Guntersville Public Library",https://guntersvillelibrary.org/,http://share.guntersvillelibrary.org:8080/opac/gpl/PatronCircInfo?action=OPAC,Guntersville,AL,8429,36927,32,307.02
14479,"Hale County Library",http://hcplgreensboro.org/,http://hcpl.booksys.net,Hale County,AL,6418,25,42,404
14351,"Haleyville Public Library",https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Haleyville,AL,3982,8996,32,9658
12994,"Homewood Public Library",https://www.homewoodpubliclibrary.org/,http://encore.bham.lib.al.us/iii/encore/app,Homewood,AL,25476,138376,21,107.02
12995,"Hoover Public Library",https://www.hooverlibrary.org/,http://www.jclc.org/services/opacmenu.html,Hoover,AL,84920,426676,13,129.08
8538,"Dothan Houston County Library System",https://www.dhcls.org/,http://www.catalog.houstonlovelibrary.org/uhtbin/webcat,Houston County,AL,104346,118616,13,406
12996,"Hueytown Public Library",http://hueytown.com/htnlib.htm,http://www.jclc.org/services/opacmenu.html,Hueytown,AL,15460,271589,21,100.01
12997,"Irondale Public Library",https://www.irondalelibrary.org/,http://www.jclc.org/services/opacmenu.html,Irondale,AL,12468,13600,21,126.02
14452,"Jacksonville Public Library",https://www.jacksonvillepubliclibrary.org/,https://jvil.sirsi.net/,Jacksonville,AL,12612,12043,23,21.02
14352,"Jasper Public Library",https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Jasper,AL,13618,8996,32,203
14405,"Lawrence County Public Library",https://sites.google.com/site/lawrencecpl01/,http://lawrencecplal.booksys.net/opac/lawrencecplal/index.html,Lawrence County,AL,30796,5400,32,9798
6632,"Athens - Limestone Public Library",https://www.alcpl.org/,http://catalog.athenslimestone.lib.al.us/,Limestone County,AL,94402,2399130,31,210
14360,"Lineville Public Library",https://cheaharegionallibrary.org/member_libraries/lineville_city_library,http://216.180.36.15/,Lineville,AL,2263,46,42,9589
8650,"Loxley Public Library",https://loxleypubliclibrary.blogspot.com/,http://www.baldwincat.org/,Loxley,AL,2336,0,23,109.03
11169,"Luverne Public Library",http://www.luvernepubliclibrary.com/,http://66.21.97.110/,Luverne,AL,10402,-1,43,9637
198558,"Magnolia Springs Public Library",https://www.magnoliaspringslibrary.org/library,http://www.baldwincat.org/,Magnolia Springs,AL,804,-1,41,114.01
12999,"Midfield Public Library",http://midfield.lib.al.us/,http://www.jclc.org/services/opacmenu.html,Midfield,AL,5092,0,21,132
13010,"Millbrook Public Library",https://cityofmillbrook.org/millbrook-public-library/,http://millbrook.booksys.net/opac/mpl/index.html,Millbrook,AL,15318,0,21,310
655,"Mobile Public Library",https://www.mobilepubliclibrary.org/,http://mobi.ent.sirsi.net/client/en_US/default,Mobile,AL,372362,2503057,12,2
14520,"Monroe County Public Library",https://moncolib.org/,https://monroecounty.biblionix.com/catalog/,Monroe County,AL,21327,3252,33,760
4642,"Muscle Shoals Public Library",https://www.youseemore.com/muscleshoals/,http://colbert.tlcdelivers.com:8080/?config=2#bookriver,Muscle Shoals,AL,18309,104365,13,207.03
9069,"North Shelby Library",https://northshelbylibrary.org/?lang=en,http://catalog.shelbycounty-al.org/polaris/,North Shelby County,AL,50788,72089,21,303.42
14447,"Odenville Public Library",https://cityofodenville.net/library,http://odenville.biblionix.com/,Odenville,AL,10365,10689,42,405.02
14486,"Oneonta Public Library",https://www.oneontapubliclibrary.org/,https://oneonta.biblionix.com/atoz/catalog/,Oneonta,AL,43917,67123,32,501.01
8651,"Orange Beach Public Library",https://www.orangebeachlibrary.org/,http://216.231.174.250/baldwin/,Orange Beach,AL,6029,14366,21,114.05
14362,"Oxford Public Library",https://www.oxfordpl.org/,http://216.180.36.15/,Oxford,AL,21180,35434,13,12.01
9070,"Pelham Public Library",https://www.pelhamlibraryal.gov/900/Library,http://catalog.shelbycounty-al.org/polaris/,Pelham,AL,23493,45000,21,303.16
14448,"Pell City Public Library",https://www.pellcitylibrary.com/,http://www.pc.lib.al.us:81/,Pell City,AL,22575,5100,32,402.03
14453,"Piedmont Public Library",https://www.publiclibrary.cc/piedmont/,http://piedmont.bywatersolutions.com/,Piedmont,AL,4618,1350,31,23
63876,"Pinson Public Library",http://www.pinsonlibrary.com/,http://vulcan.bham.lib.al.us/,Pinson,AL,7532,6127,21,112.05
13000,"Pleasant Grove Public Library",http://pleasantgrove.lib.al.us/,http://www.jclc.org/services/opacmenu.html,Pleasant Grove,AL,10104,-1,21,123.05
14491,"Prichard Public Library",https://www.thecityofprichard.org/public-library,http://prichard.booksys.net/opac/prichard/,Prichard,AL,21732,5792,21,77
14433,"Rainbow City Public Library",https://rbclibrary.org/,http://192.168.200.253:7000/opac/rcpl/index.html,Rainbow City,AL,9555,48352,23,104.01
14423,"Rainsville Public Library",https://www.rainsvillepubliclibrary.com/,http://www.rainsvillepubliclibrary.com/winnebago/index.asp?lib=???,Rainsville,AL,5038,1050,42,9604
8652,"Robertsdale Public Library",https://www.cellchaos.com,http://216.231.174.250/baldwin/,Robertsdale,AL,6098,-1,31,109.05
14391,"Rogersville Public Library",http://www.rogersvillelibrary.org/,http://74.239.70.251/index.html,Rogersville,AL,1230,-1,42,118.02
14382,"Samson Public Library",https://www.cityofsamson.com/library.html,http://samsonlibal.booksys.net/opac/samson/,Samson,AL,5800,-1,43,501
14485,"Scottsboro Public Library",https://www.scottsborolibrary.org/,https://scottsborolibrary.ml/eg/opac/home,Scottsboro,AL,36972,350,32,9508
6640,"Sheffield Public Library",https://www1.youseemore.com/sheffieldpl/,http://colbert.tlcdelivers.com/,Sheffield,AL,13217,18381,23,202
9060,"Harrison Regional Library System",https://www.shelbycounty-al.org/,http://catalog.shelbycounty-al.org/polaris/,Shelby County,AL,44610,3831,42,307.03
8653,"Oscar Johnson Memorial Library",https://www.silverhillalabama.com/Library,http://216.231.174.250/baldwin/,Silverhill,AL,888,-1,31,109.05
41951,"Somerville Public Library",https://www.somervillelibrary.org/,http://somervillelibraryal.booksys.net/opac/spl/index.html,Somerville,AL,1164,-1,42,54.05
198556,"Spanish Fort Public Library",https://www.spanishfortpubliclibrary.org/,http://www.baldwincat.org/,Spanish Fort,AL,8644,11240,23,107.01
14543,"Springville Public Library",https://www.cityofspringville.com/library,https://springvilleal.booksys.net/opac/springville/index.html#menuHome,Springville,AL,10837,5473,31,405.01
14508,"Stevenson Public Library",https://cityofstevensonalabama.com/Library.html,http://www.stevensonplal.booksys.net,Stevenson,AL,5174,-1,42,9503
14353,"Sumiton Public Library",https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Sumiton,AL,2368,8996,31,218
13001,"Tarrant Public Library",http://tarrant.lib.al.us/,http://www.jclc.org/services/opacmenu.html,Tarrant,AL,6201,1495,21,109
4346,"Troy Public Library",https://www.troycitylibrary.org/,http://troy.booksys.net/opac/troy/,Troy,AL,27241,3400,33,1889
13002,"Trussville Public Library",https://www.trussvillelibrary.com/,http://www.jclc.org/services/opacmenu.html,Trussville,AL,21827,86881,21,111.09
13006,"Tuscaloosa Public Library",https://www.tuscaloosa-library.org/,http://innopac.tuscaloosa-library.org/,Tuscaloosa,AL,207811,207113,12,114.02
14414,"Evelyn Thornton - Warrior Public Library",https://www.warriorpubliclibrary.com,http://catalog.jclc.org/search~/a?a,Warrior,AL,3208,-1,41,114
14389,"Wetumpka Public Library",https://wetumpkalibrary.com/,http://wpl.booksys.net/opac/wpl/,Wetumpka,AL,8148,144531,31,308
14253,"Anchor Point Public Library",https://anchorpointlibrary.com/index.html,http://anchorpointlibrary.com/online-library-catalog.html,Anchor Point,AK,2057,-1,43,8
14261,"Kuskokwim Consortium Library",https://uaf.edu/bethellibrary/,http://catalog.library.uaf.edu,Bethel,AK,6135,-1,33,2
11205,"Big Lake Public Library",https://matsugov.us/msln/biglake,https://jlc-web.uaa.alaska.edu/client/en_US/biglake/search/results/?q=&rt=,Big Lake,AK,8736,-1,42,5.02
14264,"Chiniak Public Library",https://chiniaklibrary.org/,http://destiny.kibsd.org/common/servlet/presenthomeform.do?l2m=Home&tm=Home&l2m=Home,Chiniak,AK,44,-1,43,1
14266,"Cooper Landing Community Library",https://cooperlandinglibrary.webs.com/,https://cooperlanding.biblionix.com/Catalog,Cooper Landing,AK,265,1747,43,3
14267,"Cordova Public Library",https://cordovalibrary.org/,https://cordova.follettdestiny.com/common/welcome.jsp?context=saas30_6502659,Cordova,AK,2360,4013,43,2
14270,"Delta Community Library",https://deltajunction.us/delta-community-library/,https://mydeltalibrary.follettdestiny.com/,Delta Junction,AK,1177,-1,43,4
14277,"Copper Valley Community Library",https://www.coppervalleylibrary.org/,http://209.161.161.200/,Glennallen,AK,456,12188,43,1
14279,"Haines Borough Public Library",https://haineslibrary.org/,https://catalog.haineslibrary.org/,Haines,AK,2480,16153,43,1
14282,"Homer Public Library",https://www.cityofhomer-ak.gov/library,http://www.cityofhomer-ak.gov/library,Homer,AK,5443,83296,43,10
2939,"Juneau Public Libraries",https://juneau.org/library,http://jlc-web.uaa.alaska.edu/client/jpl,Juneau,AK,32247,123204,33,5
1568,"Kenai Community Library",https://www.kenai.city/library,http://catalog.kenailibrary.org/,Kenai,AK,6999,10353,33,6
6928,"Kodiak Public Library",https://www.city.kodiak.ak.us/library,http://libsearch.city.kodiak.ak.us/uhtbin/cgisirsi.exe/MBqddfrWU7/0/309630031/60/1180/X,Kodiak,AK,12796,341475,33,3
14288,"Chukchi Consortium Library",https://www.uaf.edu/chukchi/chukchi-consortium-librar/,http://opac1.library.uaf.edu/uhtbin/cgisirsi/?ps=2pYNiqdg4m/KOTZ/188250007/60/502/X,Kotzebue,AK,3121,-1,33,2
14325,"Moose Pass Public Library",https://moosepasslibrary.webs.com/,https://moosepass.biblionix.com/catalog/,Moose Pass,AK,224,0,43,3
14293,"Martin Monsen Regional Library",http://www.bristolbayboroughak.us/adminstration/libraries/index.html,https://monsen.biblionix.com/catalog/,Naknek,AK,879,0,43,1
14322,"Tuzzy Consortium Library",https://www.tuzzy.org/home,https://jlc-web.uaa.alaska.edu/client/en_US/tuzzy,North Slope County,AK,9925,-1,43,1
5985,"Petersburg Public Library",https://psglib.org/,http://jlc-web.uaa.alaska.edu/client/petersburg,Petersburg,AK,3198,27510,43,2
14301,"Seward Community Library and Museum",https://www.cityofseward.us/departments/library-museum/library,http://www.cityofseward.us/libmuscatalog,Seward,AK,2584,-1,43,13
14302,"Sitka Public Library",https://www.cityofsitka.com/departments/SitkaPublicLibrary,http://24.237.114.195/,Sitka,AK,8652,-1,33,2
14303,"Skagway Public Library",https://skagwaylibrary.blogspot.com/,https://skagway.biblionix.com,Skagway,AK,1088,-1,43,1
2801,"Apache Junction Public Library",https://www.ajpl.org/,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=3.1033.0.0.6,Apache Junction,AZ,41388,232544,41,3.07
11331,"Benson Public Library",https://cochiselibrary.org/client/en_US/ccld,http://cochise.lib.az.us/marion.htm,Benson,AZ,5054,7722,32,3.01
11332,"Copper Queen Library",https://www.bisbeeaz.gov/2155/Copper-Queen-Library,http://cochise.lib.az.us/marion.htm,Bisbee,AZ,5369,0,32,10
14752,"Buckeye Public Library",https://www.buckeyeaz.gov/community/residents/library/about-us,http://68.225.129.55/webopac/main,Buckeye,AZ,81624,68899,22,506.1
6580,"Camp Verde Community Library",https://www.campverde.az.gov/departments/community-library,http://catalog.yln.info/client/ver,Camp Verde,AZ,11162,210000,32,16.03
13666,"City of Casa Grande Public Library",https://casagrandeaz.gov/,http://www.cglibrary.org/polaris/,Casa Grande,AZ,56962,3818,13,14.06
14798,"Desert Foothills Library",https://dfla.org/,http://dfh.mcldaz.org/,Cave Creek,AZ,5834,224000,41,304.02
660,"Chandler Public Library",https://chandlerlibrary.org/,http://chandler.polarislibrary.com,Chandler,AZ,266804,1190495,11,5231.02
6581,"Chino Valley Public Library",https://www.chinoaz.net/214/Library,http://catalog.yln.info/client/en_US/cvpl/,Chino Valley,AZ,11914,15008,31,2.04
14745,"Clifton Public Library",https://www.greenleelibraries.org/,https://cliftonaz.biblionix.com/catalog,Clifton,AZ,4405,-1,33,9601
5135,"Cochise County Library District",https://cochiselibrary.org/client/en_US/ccld,https://cochiselibrary.org/,Cochise County,AZ,129778,112189,43,11
14813,"Coolidge Public Library",https://www.coolidgeaz.com/library,http://catalog.pinalcountyaz.gov/polaris/Search/default.aspx?ctx=10.1033.0.0.5&type=Default,Coolidge,AZ,12734,5395,31,10
14823,"Cottonwood Public Library",https://www.ctwpl.info/,http://catalog.yln.info/client/ctw,Cottonwood,AZ,12249,42275,32,20.01
11334,"Douglas Public Library",https://www.douglasaz.gov/301/Library,http://cochise.lib.az.us/,Douglas,AZ,16656,-1,33,9.02
14814,"Eloy Santa Cruz Library",https://eloyaz.gov/636/Library---Limited-Services-due-to-COVID-,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=12.1033.0.0.6,Eloy,AZ,19438,-1,31,20.03
14815,"Florence Community Library",https://www.florenceaz.gov/library/,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=14.1033.0.0.6,Florence,AZ,27980,4880,41,9.01
14826,"Fredonia Public Library",https://www.fredoniaaz.net/services/publiclibrary.aspx,https://catalog.williamspubliclibrary.org/,Fredonia,AZ,1313,1401,42,20
9509,"Gila County Library District",https://gcldaz.org/,http://catalog.gcldaz.org/polaris/Search/default.aspx?ctx=22.1033.0.0.4&type=Default,Gila County,AZ,55159,142,33,12
1518,"Glendale Public Library",https://www.glendaleazlibrary.com/,https://glendale.iii.com,Glendale,AZ,243262,398678,21,923.06
9500,"Globe Public Library",https://gcldaz.org/,http://catalog.gcldaz.org/polaris/Search/default.aspx?ctx=1.1033.0.0.1&type=Default,Globe,AZ,7514,5776,33,11
14797,"Duncan Public Library",https://www.greenleelibraries.org/Pages/Index/70877/duncan-library-information,https://duncanaz.biblionix.com/catalog,Greenlee County,AZ,759,0,43,9603
9501,"Hayden Public Library",https://gcldaz.org/hayden-library,http://catalog.gila.lib.az.us/polaris/,Hayden,AZ,644,1937,43,13
14067,"Holbrook Public Library",https://holbrooklibrary.org/,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/NAJO/0/0/49,Holbrook,AZ,5215,-1,33,9602
11336,"Huachuca City Public Library",https://cochiselibrary.org/client/en_US/huachuca/,http://cochise.lib.az.us/marion.htm,Huachuca City,AZ,1794,-1,41,13
6605,"Jerome Public Library",https://www.jerome.az.gov/404.html,http://catalog.yln.info/client/jer,Jerome,AZ,450,-1,42,19
14816,"Kearny Public Library",https://kearnylibrary.wordpress.com/,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=16.1033.0.0.6,Kearny,AZ,2115,-1,43,23
14068,"Hopi Public Library",https://www.navajocountylibraries.org/,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/NAJO/0/0/49,Kykotsmovi,AZ,9227,58120,43,9400.13
14817,"Mammoth Public Library",https://library.townofmammoth.us/,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=20.1033.0.0.6,Mammoth,AZ,1546,479,42,24
14818,"Maricopa Public Library",https://www.maricopa-az.gov/departments/community-services/library,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=22.1033.0.0.6,Maricopa,AZ,54791,28288,32,17.05
1621,"Mesa Public Library",https://www.mesalibrary.org/,http://cat.mesalibrary.org/polaris/,Mesa,AZ,497439,567359,11,4214
9502,"Miami Memorial Library",https://gcldaz.org/miami-memorial-library/,http://catalog.gila.lib.az.us/polaris/,Miami,AZ,1815,-1,33,9
10953,"Mohave County Library District",https://www.mohavecountylibrary.us/,http://webcat.co.mohave.az.us/,Mohave County,AZ,216985,268247,33,9539
210621,"Navajo County Library District",https://www.navajocountylibraries.org/,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/NAJO/0/0/49,Navajo County,AZ,112825,58120,42,9602
14828,"Page Public Library",https://pagepubliclibrary.org/,https://catalog.williamspubliclibrary.org/,Page,AZ,7686,46019,33,21
14749,"Parker Public Library",http://www.parkerpubliclibrary.com/,http://parker.booksys.net/opac/ppl/index.html#menuHome,Parker,AZ,3341,23599,32,9402
14790,"Patagonia Public Library",https://www.patagoniapubliclibrary.org/,https://patagonia.biblionix.com/catalog/,Patagonia,AZ,1000,16617,42,9660
9506,"Payson Public Library",https://www.paysonaz.gov/Departments/Library/LibraryHome.html,http://catalog.gila.lib.az.us/polaris/,Payson,AZ,16168,0,33,3.01
1703,"Phoenix Public Library",https://www.phoenixpubliclibrary.org,https://catalog.phoenixpubliclibrary.org/,Phoenix,AZ,1617344,21239996,11,1130
9505,"Isabelle Hunt Memorial Public Library",https://pinepubliclibrary.com/,http://catalog.gila.lib.az.us/polaris/,Pine,AZ,1963,7392,43,1
14824,"Prescott Valley Public Library",https://www.pvlib.net/,https://pvpl.catalog.yln.info/?browseCategory=pvpl_new_and_highlights,Prescott Valley,AZ,46458,132212,13,6.06
1881,"Prescott Public Library",https://prescottlibrary.info/,http://catalog.yln.info/client/ppl,Prescott,AZ,42566,298648,13,8.01
14803,"Quartzsite Public Library",https://ci.quartzsite.az.us/index.php/2013-01-08-06-19-36/library,http://66.185.232.40/search/search.asp?lib=???,Quartzsite,AZ,3950,44250,33,205.02
193572,"Ira H. Hayes Memorial Library",https://www.mygilariver.com/index.php?option=com_content&view=category&layout=blog&id=91&Itemid=161,http://irahhayes.booksys.net/,Sacaton,AZ,11150,-1,42,9412
9508,"San Carlos Public Library",https://gcldaz.org/san-carlos-public-library/,http://catalog.gila.lib.az.us/polaris/,San Carlos,AZ,10443,2451,33,9404
10485,"Scottsdale Public Library System",https://www.scottsdalelibrary.org/,http://scottsdale.polarislibrary.com,Scottsdale,AZ,247944,831690,11,2172.01
6576,"Sedona Public Library",https://www.sedonalibrary.org/,http://catalog.yln.info/client/sed,Sedona,AZ,10374,-1,32,18.02
14076,"Show Low Public Library",https://www.showlowaz.gov/library,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/NAJO/0/0/49,Show Low,AZ,11736,16410,33,9617
11338,"Sierra Vista Public Library",https://www.sierravistaaz.gov/our-city/departments/library,http://cochise.lib.az.us/,Sierra Vista,AZ,44035,0,13,16.02
14071,"Snowflake-Taylor Public Library",https://ci.snowflake.az.us/departments/library/,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/x/0/0/12,Snowflake,AZ,10565,-1,33,9633
14821,"Superior Public Library",https://superiorpublib.wordpress.com/,http://catalog.pinalcountyaz.gov/polaris/default.aspx?ctx=30.1033.0.0.6,Superior,AZ,3063,263,32,4
1170,"Tempe Public Library",https://www.tempepubliclibrary.org/,http://tempe.polarislibrary.com,Tempe,AZ,188616,-1,12,3198
14807,"Venito Garcia Library and Archives",https://www1.youseemore.com/venitogarcia/,http://www.youseemore.com/venitogarcia/,Tohono O'odham Nation,AZ,10104,-1,43,9408
11341,"Tombstone City Library",https://cochiselibrary.org/client/en_US/tombstone,http://cochise.lib.az.us/marion.htm,Tombstone,AZ,1338,-1,42,4
14069,"Pinetop-Lakeside Public Library",https://www.pinetoplakesidelibrary.org,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/NAJO/0/0/49,Town of Pinetop-Lakeside,AZ,4563,19627,33,9653
14759,"Wickenburg Public Library",https://www.wickenburgaz.gov/1403/Library,http://wickenburg.mcldaz.org/,Wickenburg,AZ,7797,1700,32,405.02
11342,"Elsie S. Hogan Community Library",https://cochiselibrary.org/client/en_US/willcox,http://cochise.lib.az.us/marion.htm,Willcox,AZ,3652,-1,33,2.02
14829,"Williams Public Library",https://www.williamspubliclibrary.org/,https://catalog.williamspubliclibrary.org/,Williams,AZ,3352,5467,32,17
14073,"Winslow Public Library",https://www.winslowaz.gov/departments/library/index.php,http://sirsi.navajocountylibraries.org/uhtbin/cgisirsi.exe/NAJO/0/0/49,Winslow,AZ,9481,58120,33,9604
4293,"Yuma County Library District",https://yumalibrary.org/,http://yuma.ent.sirsi.net/vse/app,Yuma County,AZ,229957,192352,13,9.07
14611,"Arkansas River Valley Regional Library",https://www.arvrls.com/,http://hip.arvrls.com/,Arkansas River Region,AR,87146,0,32,9523.02
14673,"Ashley County Library",https://www.ashcolib.com/,https://ashleycountylibrary.follettdestiny.com,Ashley County,AR,20492,5275,33,9603
14712,"Bella Vista Public Library",https://www.bvpl.org/,http://www.bvpl.org/,Bella Vista,AR,16582,0,21,207.01
14682,"Bentonville Public Library",https://bentonvillelibrary.org/,http://library.bentonvillear.com:8080/?config=default#section=home,Bentonville,AR,36601,820021,13,205.01
5988,"Boone County Library",https://boonecountylibrary.org/,https://bcl72601.biblionix.com/catalog/,Boone County,AR,37304,21852,33,7905.02
27,"Central Arkansas Library System",https://cals.org/,https://cals.bibliocommons.com/,Central Region,AR,337104,3004814,12,44
14726,"Clark County Library",https://clarkcountylibrary.ar.gov/,https://clarklibrary.follettdestiny.com/,Clark County,AR,22657,106246,32,9538
9752,"Columbia County Library",https://cocolib.booksys.net/opac/cocolib/index.html#menuHome,https://cocolib.booksys.net/opac/cocolib/#menuHome,Columbia County,AR,23901,28825,33,9504
14677,"Conway County Library",https://conwaycountylibrary.org/,http://catalog.conwaycountylibrary.org:8080/#bookriver,Conway County,AR,20937,0,32,9504
2896,"Fayetteville Public Library",https://www.faylib.org/,http://catalog.faylib.org/polaris,Fayetteville,AR,83826,333596,13,113
14681,"Forrest City Public Library",https://www.forrestcitylibrary.org/,http://206.255.252.34/Surpass/,Forrest City,AR,14480,9331,32,9606
3171,"Fort Smith Public Library",https://www.fortsmithlibrary.org/,http://catalog.fortsmithlibrary.org/polaris,Fort Smith,AR,88133,314494,13,11.01
1512,"Garland County Library",https://gclibrary.com,http://gcl.ent.sirsi.net,Garland County,AR,97477,181517,13,115
33930,"Gravette Public Library",https://www.gravettelibrary.org/,http://gpl.slp.sirsi.net/,Gravette,AR,2800,11180,42,209.02
14597,"Independence County Library",https://indcolib.com/,https://indcolib.booksys.net/opac/indcolib/index.html#menuHome,Independence County,AR,37168,7389,33,4902
14678,"Lawrence County Library",https://lawrencecountylibrary.com/,http://66.76.82.89/opac/lawco/index.html#menuHome,Lawrence County,AR,16735,12916,43,4705.02
14074,"Lonoke County Library System",https://www.lclibraries.org/,http://www.lonokecountylibrary.org:8010,Lonoke County,AR,72228,975781,32,205
14725,"Newton County Library",https://www.newtoncountylibrary.org/,https://newton.biblionix.com/catalog/,Newton County,AR,7936,87614,43,1801
12628,"Pope County Library System",https://popelibrary.org/,http://popecounty.polarislibrary.com/Polaris/,Pope County,AR,63779,87606,42,9516
5463,"Rogers Public Library",https://rogerspubliclibrary.org/,http://library.rpl.lib.ar.us,Rogers,AR,65021,279701,13,204.02
4518,"Saline County Library",https://www.salinecountylibrary.org/,https://midarls.ent.sirsi.net/client/en_US/salinecountylibrary/?,Saline County,AR,118703,1393111,21,101.01
